Результаты анализа звукового файла: И.wav

Минимальная частота голоса: 0.0 Гц
Максимальная частота голоса: 10508.203125 Гц

Основной тон: 376.8310546875 Гц

Три самые сильные форманты:
Временной сегмент 0: ['65 Гц', '86 Гц', '75 Гц']
Временной сегмент 32: ['118 Гц', '237 Гц', '226 Гц']
Временной сегмент 33: ['215 Гц', '237 Гц', '226 Гц']
Временной сегмент 34: ['118 Гц', '226 Гц', '237 Гц']
Временной сегмент 35: ['118 Гц', '248 Гц', '237 Гц']
Временной сегмент 36: ['118 Гц', '226 Гц', '237 Гц']
Временной сегмент 37: ['248 Гц', '118 Гц', '237 Гц']
Временной сегмент 38: ['118 Гц', '248 Гц', '237 Гц']
Временной сегмент 39: ['118 Гц', '237 Гц', '248 Гц']
Временной сегмент 40: ['118 Гц', '129 Гц', '248 Гц']
Временной сегмент 41: ['129 Гц', '237 Гц', '248 Гц']
Временной сегмент 42: ['118 Гц', '237 Гц', '248 Гц']
Временной сегмент 43: ['258 Гц', '237 Гц', '248 Гц']
Временной сегмент 44: ['248 Гц', '129 Гц', '258 Гц']
Временной сегмент 45: ['269 Гц', '258 Гц', '129 Гц']
Временной сегмент 46: ['248 Гц', '129 Гц', '258 Гц']
Временной сегмент 47: ['269 Гц', '140 Гц', '129 Гц']
Временной сегмент 48: ['129 Гц', '269 Гц', '140 Гц']
Временной сегмент 49: ['129 Гц', '280 Гц', '140 Гц']
Временной сегмент 50: ['129 Гц', '280 Гц', '140 Гц']
Временной сегмент 51: ['151 Гц', '280 Гц', '140 Гц']
Временной сегмент 52: ['151 Гц', '280 Гц', '140 Гц']
Временной сегмент 53: ['280 Гц', '151 Гц', '140 Гц']
Временной сегмент 54: ['291 Гц', '140 Гц', '151 Гц']
Временной сегмент 55: ['301 Гц', '140 Гц', '151 Гц']
Временной сегмент 56: ['161 Гц', '301 Гц', '151 Гц']
Временной сегмент 57: ['301 Гц', '161 Гц', '151 Гц']
Временной сегмент 58: ['301 Гц', '161 Гц', '151 Гц']
Временной сегмент 59: ['312 Гц', '151 Гц', '161 Гц']
Временной сегмент 60: ['312 Гц', '151 Гц', '161 Гц']
Временной сегмент 61: ['323 Гц', '151 Гц', '161 Гц']
Временной сегмент 62: ['151 Гц', '323 Гц', '161 Гц']
Временной сегмент 63: ['334 Гц', '172 Гц', '161 Гц']
Временной сегмент 64: ['334 Гц', '172 Гц', '161 Гц']
Временной сегмент 65: ['334 Гц', '161 Гц', '172 Гц']
Временной сегмент 66: ['345 Гц', '161 Гц', '172 Гц']
Временной сегмент 67: ['183 Гц', '161 Гц', '172 Гц']
Временной сегмент 68: ['161 Гц', '183 Гц', '172 Гц']
Временной сегмент 69: ['355 Гц', '172 Гц', '183 Гц']
Временной сегмент 70: ['355 Гц', '172 Гц', '183 Гц']
Временной сегмент 71: ['194 Гц', '172 Гц', '183 Гц']
Временной сегмент 72: ['172 Гц', '194 Гц', '183 Гц']
Временной сегмент 73: ['172 Гц', '194 Гц', '183 Гц']
Временной сегмент 74: ['377 Гц', '183 Гц', '194 Гц']
Временной сегмент 75: ['205 Гц', '183 Гц', '194 Гц']
Временной сегмент 76: ['183 Гц', '205 Гц', '194 Гц']
Временной сегмент 77: ['183 Гц', '205 Гц', '194 Гц']
Временной сегмент 78: ['398 Гц', '194 Гц', '205 Гц']
Временной сегмент 79: ['215 Гц', '194 Гц', '205 Гц']
Временной сегмент 80: ['215 Гц', '194 Гц', '205 Гц']
Временной сегмент 81: ['215 Гц', '194 Гц', '205 Гц']
Временной сегмент 82: ['194 Гц', '215 Гц', '205 Гц']
Временной сегмент 83: ['420 Гц', '215 Гц', '205 Гц']
Временной сегмент 84: ['226 Гц', '205 Гц', '215 Гц']
Временной сегмент 85: ['226 Гц', '205 Гц', '215 Гц']
Временной сегмент 86: ['226 Гц', '205 Гц', '215 Гц']
Временной сегмент 87: ['205 Гц', '226 Гц', '215 Гц']
Временной сегмент 88: ['205 Гц', '226 Гц', '215 Гц']
Временной сегмент 89: ['237 Гц', '215 Гц', '226 Гц']
Временной сегмент 90: ['237 Гц', '215 Гц', '226 Гц']
Временной сегмент 91: ['237 Гц', '215 Гц', '226 Гц']
Временной сегмент 92: ['215 Гц', '237 Гц', '226 Гц']
Временной сегмент 93: ['248 Гц', '226 Гц', '237 Гц']
Временной сегмент 94: ['226 Гц', '248 Гц', '237 Гц']
Временной сегмент 95: ['226 Гц', '248 Гц', '237 Гц']
Временной сегмент 96: ['258 Гц', '237 Гц', '248 Гц']
Временной сегмент 97: ['258 Гц', '237 Гц', '248 Гц']
Временной сегмент 98: ['237 Гц', '258 Гц', '248 Гц']
Временной сегмент 99: ['237 Гц', '258 Гц', '248 Гц']
Временной сегмент 100: ['269 Гц', '248 Гц', '258 Гц']
Временной сегмент 101: ['248 Гц', '269 Гц', '258 Гц']
Временной сегмент 102: ['258 Гц', '269 Гц', '280 Гц']
Временной сегмент 103: ['280 Гц', '301 Гц', '291 Гц']
Временной сегмент 104: ['291 Гц', '312 Гц', '301 Гц']
Временной сегмент 105: ['301 Гц', '323 Гц', '312 Гц']
Временной сегмент 106: ['334 Гц', '312 Гц', '323 Гц']
Временной сегмент 107: ['355 Гц', '334 Гц', '345 Гц']
Временной сегмент 108: ['345 Гц', '355 Гц', '366 Гц']
Временной сегмент 109: ['355 Гц', '366 Гц', '377 Гц']
Временной сегмент 110: ['366 Гц', '388 Гц', '377 Гц']
Временной сегмент 111: ['366 Гц', '377 Гц', '388 Гц']
Временной сегмент 112: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 113: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 114: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 115: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 116: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 117: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 118: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 119: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 120: ['377 Гц', '398 Гц', '388 Гц']
Временной сегмент 121: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 122: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 123: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 124: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 125: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 126: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 127: ['398 Гц', '377 Гц', '388 Гц']
Временной сегмент 128: ['377 Гц', '398 Гц', '388 Гц']
Временной сегмент 129: ['3488 Гц', '86 Гц', '75 Гц']
